,mean_2020
WY,21.225
MT,20.491666666666667
WA,17.73333333333333
MD,17.499999999999996
OK,16.616666666666667
OR,16.05
RI,16.033333333333335
AK,15.75
ND,15.700000000000001
SD,15.116666666666667
CT,14.225000000000001
AR,13.866666666666665
VT,13.845454545454546
FL,13.758333333333333
IL,13.174999999999999
MN,12.816666666666668
VA,12.266666666666664
CA,11.841666666666667
LA,11.816666666666668
CO,11.333333333333334
ID,11.116666666666667
NY,9.908333333333331
NV,9.591666666666667
TN,9.291666666666666
TX,9.216666666666667
NC,8.975
NJ,8.508333333333333
NM,8.458333333333334
MO,8.441666666666668
IN,8.424999999999999
MA,8.308333333333335
AZ,8.116666666666665
UT,7.0
IA,6.95
AL,6.791666666666667
WI,6.699999999999999
ME,6.575
MS,6.5
DE,5.916666666666667
KS,5.866666666666666
NH,5.7
GA,5.625
MI,5.55
OH,5.391666666666667
KY,5.244444444444444
PA,4.216666666666667
SC,3.9416666666666664
WV,2.8750000000000004
NE,2.7416666666666667
HI,0.2333333333333331
